year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
2009,27.5,36.8,45.2,53,64.7,74.8,73.5,74,67,50.6,49.9,28.5,53.8
2010,23.8,27.3,45.5,60.4,64,77.6,80.4,81.2,69.2,58.6,44.7,29.3,55.2
2011,22.8,29.5,43.5,55.8,63,76,83.2,78.1,64.8,58.3,45.4,35.9,54.7
2012,35.1,38.1,58.4,59,69.6,77.3,85.2,76.9,67.5,54.7,46.8,35.9,58.7
2013,32.8,32.4,37.8,49.9,62.7,73.4,76.6,75.9,71.5,55.1,40.9,28.1,53.1
2014,24.5,24.7,40.1,53.6,66,74,73.9,77.5,66.9,57.6,37.5,34.3,52.5
2015,31.2,25.2,46.7,56.8,63.5,74.8,77.5,74.5,72.9,58.4,48.2,39.7,55.8
2016,29.6,39.1,50.5,57.1,62.7,78.6,78.6,77,71.4,61.8,51.2,30.1,57.3
2017,32.3,43.6,48,57,63.8,74.6,79.1,71.8,71.1,57.7,44.8,32.1,56.3
2018,28.4,32.3,43.6,47.4,73.4,77.8,78.9,77.3,70.6,55.5,35.6,34.8,54.6
2019,28.1,27.6,40.2,56.5,,,,,,,,,
